time/s	Ewe/V	<I>/mA	
4.855012230600696E+003	2.2482274E+000	-1.099049777598860E+001
4.870012231313158E+003	2.2473216E+000	-1.099039609790811E+001
4.885012232025620E+003	2.2465737E+000	-1.099061940506201E+001
4.900012232738081E+003	2.2456286E+000	-1.099057185677020E+001
4.915012233450543E+003	2.2446442E+000	-1.099071136583747E+001
4.930012234163005E+003	2.2438960E+000	-1.099062440778292E+001
4.945012234875467E+003	2.2429905E+000	-1.099069875114284E+001
4.960012235587928E+003	2.2421243E+000	-1.099065172482874E+001
4.975012236300390E+003	2.2411792E+000	-1.099071530209623E+001
4.990012237012852E+003	2.2403131E+000	-1.099060995008097E+001
5.005012237725314E+003	2.2393286E+000	-1.099080594374944E+001
5.020012238437776E+003	2.2384624E+000	-1.099066224385595E+001
5.035012239150237E+003	2.2375960E+000	-1.099056950551807E+001
5.050012239862699E+003	2.2366118E+000	-1.099048332121125E+001
5.065012240575161E+003	2.2355092E+000	-1.099045337342317E+001
5.080012241287623E+003	2.2345643E+000	-1.099040530747696E+001
5.095012242000084E+003	2.2336586E+000	-1.099058473277158E+001
5.110012242712546E+003	2.2328711E+000	-1.099056529472828E+001
5.125012243425008E+003	2.2319262E+000	-1.099056241018150E+001
5.140012244137470E+003	2.2310994E+000	-1.099044654524254E+001
5.155012244849931E+003	2.2303119E+000	-1.099050197368128E+001
5.170012245562393E+003	2.2296424E+000	-1.099034670889780E+001
5.185012246274855E+003	2.2288942E+000	-1.099021088241194E+001
5.200012246987317E+003	2.2279887E+000	-1.099035827035456E+001
5.215012247699779E+003	2.2271225E+000	-1.099059051737824E+001
5.230012248412240E+003	2.2263350E+000	-1.099049383299054E+001
5.245012249124702E+003	2.2254293E+000	-1.099044575178555E+001
5.260012249837164E+003	2.2245631E+000	-1.099044917738353E+001
5.275012250549626E+003	2.2235000E+000	-1.099047282138469E+001
5.290012251262087E+003	2.2226732E+000	-1.099024320052564E+001
5.305012251974549E+003	2.2217281E+000	-1.099036378271901E+001
5.320012252687011E+003	2.2207830E+000	-1.099032699645061E+001
5.335012253399473E+003	2.2199168E+000	-1.099031439587036E+001
5.350012254111934E+003	2.2190113E+000	-1.099043919317685E+001
5.365012254824396E+003	2.2180269E+000	-1.099055294095893E+001
5.380012255536858E+003	2.2170031E+000	-1.099064437632344E+001
5.395012256249320E+003	2.2161763E+000	-1.099046913918475E+001
5.410012256961782E+003	2.2152705E+000	-1.099049304309393E+001
5.425012257674243E+003	2.2143257E+000	-1.099041476271231E+001
5.440012258386705E+003	2.2133412E+000	-1.099046440883321E+001
5.455012259099167E+003	2.2123568E+000	-1.099049881879963E+001
5.470012259811629E+003	2.2114906E+000	-1.099035905986971E+001
5.485012260524090E+003	2.2105062E+000	-1.099063123520061E+001
5.500012261236552E+003	2.2097974E+000	-1.099050276357788E+001
5.515012261949014E+003	2.2088132E+000	-1.099027840369474E+001
5.530012262661476E+003	2.2079074E+000	-1.099035932435537E+001
5.545012263373937E+003	2.2070413E+000	-1.099026736523295E+001
5.560012264086399E+003	2.2061357E+000	-1.099046887838662E+001
5.575012264798861E+003	2.2052300E+000	-1.099041501575389E+001
5.590012265511323E+003	2.2042849E+000	-1.099026342604958E+001
5.605012266223785E+003	2.2033401E+000	-1.099029679371360E+001
5.620012266936246E+003	2.2025132E+000	-1.099026710748658E+001
5.635012267648708E+003	2.2014894E+000	-1.099036720234063E+001
5.650012268361170E+003	2.2005444E+000	-1.099026134169909E+001
5.665012269073632E+003	2.1995206E+000	-1.099039032360113E+001
5.680012269786093E+003	2.1986151E+000	-1.099041265254904E+001
5.695012270498555E+003	2.1975913E+000	-1.099028339611597E+001
5.710012271211017E+003	2.1965675E+000	-1.099029890387687E+001
5.725012271923479E+003	2.1957800E+000	-1.099021245521155E+001
5.740012272635940E+003	2.1947169E+000	-1.099005693204592E+001
5.755012273348402E+003	2.1936145E+000	-1.099009607427123E+001
5.770012274060864E+003	2.1927483E+000	-1.099009738360243E+001
5.785012274773326E+003	2.1916063E+000	-1.099010474533202E+001
5.800012275485788E+003	2.1906219E+000	-1.099014783627744E+001
5.815012276198249E+003	2.1896377E+000	-1.099020169217088E+001
5.830012276910711E+003	2.1886532E+000	-1.099026106704090E+001
5.845012277623173E+003	2.1875508E+000	-1.099032201992395E+001
5.860012278335635E+003	2.1864877E+000	-1.099032333306985E+001
5.875012279048096E+003	2.1853063E+000	-1.099021167459737E+001
5.890012279760558E+003	2.1842825E+000	-1.099016096544755E+001
5.905012280473020E+003	2.1832983E+000	-1.099017199933171E+001
5.920012281185482E+003	2.1822350E+000	-1.099029731581848E+001
5.935012281897943E+003	2.1810145E+000	-1.099018066873947E+001
5.950012282610405E+003	2.1800694E+000	-1.099003249573218E+001
5.965012283322867E+003	2.1790063E+000	-1.098988484228664E+001
5.980012284035329E+003	2.1780219E+000	-1.098986463113139E+001
5.995012284747791E+003	2.1768408E+000	-1.098990376025958E+001
6.010012285460252E+003	2.1758564E+000	-1.098979105541568E+001
6.025012286172714E+003	2.1749508E+000	-1.098999519142792E+001
6.040012286885176E+003	2.1737301E+000	-1.098978186492031E+001
6.055012287597638E+003	2.1726277E+000	-1.098993608244228E+001
6.070012288310099E+003	2.1714857E+000	-1.099002672244245E+001
6.085012289022561E+003	2.1704226E+000	-1.098986251740773E+001
6.100012289735023E+003	2.1693201E+000	-1.099004221507172E+001
